wind_code,innercode
000571.SZ,260
000572.SZ,261
000573.SZ,262
000576.SZ,263
000581.SZ,265
000582.SZ,267
000584.SZ,269
000585.SZ,270
000586.SZ,272
000587.SZ,273
000589.SZ,275
000590.SZ,276
000591.SZ,277
000592.SZ,278
000593.SZ,279
000594.SZ,280
000595.SZ,281
000596.SZ,282
000597.SZ,284
000598.SZ,285
000599.SZ,286
000600.SZ,287
000601.SZ,288
000603.SZ,290
000605.SZ,291
000606.SZ,292
000607.SZ,293
000608.SZ,294
000609.SZ,295
000610.SZ,296
000611.SZ,297
000612.SZ,298
000613.SZ,299
000615.SZ,301
000616.SZ,302
000617.SZ,303
000619.SZ,306
000620.SZ,307
000622.SZ,309
000623.SZ,310
000625.SZ,311
000626.SZ,313
000627.SZ,314
000628.SZ,315
000629.SZ,316
000630.SZ,318
000631.SZ,320
000632.SZ,321
000633.SZ,322
000635.SZ,323
000636.SZ,324
000637.SZ,325
000638.SZ,326
000639.SZ,327
000650.SZ,328
000651.SZ,329
000652.SZ,330
000655.SZ,332
000656.SZ,333
000657.SZ,334
000659.SZ,336
000661.SZ,338
000662.SZ,339
000663.SZ,340
000665.SZ,341
000666.SZ,342
000667.SZ,344
000668.SZ,345
000669.SZ,346
000670.SZ,347
000671.SZ,348
000672.SZ,349
000673.SZ,350
000676.SZ,352
000677.SZ,353
000678.SZ,354
000679.SZ,355
000680.SZ,356
000681.SZ,357
000682.SZ,358
000683.SZ,359
000685.SZ,360
000686.SZ,361
000687.SZ,362
000688.SZ,363
000690.SZ,365
000691.SZ,366
000692.SZ,367
000693.SZ,368
000695.SZ,369
000697.SZ,373
000698.SZ,374
000700.SZ,376
000701.SZ,377
000702.SZ,378
000703.SZ,379
000705.SZ,380
000707.SZ,381
000708.SZ,382
000709.SZ,383
000710.SZ,384
000711.SZ,385
000712.SZ,386
000713.SZ,387
000715.SZ,388
000716.SZ,389
000717.SZ,390
000718.SZ,391
000719.SZ,392
000720.SZ,393
000721.SZ,394
000722.SZ,395
000723.SZ,396
000725.SZ,397
000726.SZ,399
000727.SZ,401
000728.SZ,402
000729.SZ,403
000731.SZ,406
000732.SZ,407
000733.SZ,408
000735.SZ,409
000736.SZ,410
000737.SZ,411
000738.SZ,412
000739.SZ,413
000748.SZ,414
000750.SZ,415
000751.SZ,416
000752.SZ,417
000753.SZ,418
000755.SZ,419
000756.SZ,420
000757.SZ,422
000758.SZ,423
000759.SZ,424
000760.SZ,425
000761.SZ,426
000762.SZ,428
000766.SZ,431
000767.SZ,432
000768.SZ,433
000776.SZ,435
000777.SZ,436
000778.SZ,437
000779.SZ,438
000780.SZ,439
000782.SZ,440
000783.SZ,441
000785.SZ,442
000786.SZ,443
000788.SZ,445
000789.SZ,446
000790.SZ,447
000791.SZ,448
000792.SZ,449
000793.SZ,450
000795.SZ,451
000796.SZ,452
000797.SZ,453
000798.SZ,454
000799.SZ,455
000800.SZ,456
000801.SZ,457
000802.SZ,458
000803.SZ,459
000806.SZ,461
000807.SZ,462
000809.SZ,463
000810.SZ,464
000811.SZ,465
000812.SZ,466
000813.SZ,467
000815.SZ,468
000816.SZ,469
000818.SZ,471
000819.SZ,472
000820.SZ,473
000821.SZ,474
000822.SZ,475
000823.SZ,476
000825.SZ,477
000826.SZ,478
000828.SZ,480
000829.SZ,481
000830.SZ,482
000831.SZ,483
000833.SZ,485
000835.SZ,486
000836.SZ,487
000837.SZ,488
000838.SZ,489
000839.SZ,490
000848.SZ,491
000850.SZ,492
000851.SZ,493
000852.SZ,494
000856.SZ,495
000858.SZ,496
000859.SZ,497
000860.SZ,498
000861.SZ,499
000862.SZ,500
000863.SZ,501
000868.SZ,503
000869.SZ,504
000875.SZ,506
000876.SZ,507
000877.SZ,508
000878.SZ,509
000880.SZ,510
000881.SZ,511
000882.SZ,512
000883.SZ,513
000885.SZ,514
000886.SZ,515
000887.SZ,516
000888.SZ,517
000889.SZ,518
000890.SZ,519
000892.SZ,520
000893.SZ,521
000895.SZ,522
000897.SZ,526
000898.SZ,527
000899.SZ,530
000900.SZ,531
000901.SZ,532
000902.SZ,533
000903.SZ,534
000905.SZ,535
000906.SZ,536
000908.SZ,537
000909.SZ,538
000910.SZ,539
000911.SZ,540
000912.SZ,541
000913.SZ,542
000915.SZ,543
000916.SZ,544
000917.SZ,545
000918.SZ,546
000919.SZ,547
000920.SZ,548
000921.SZ,549
000922.SZ,551
000923.SZ,552
000925.SZ,553
000926.SZ,554
000927.SZ,555
000928.SZ,556
000929.SZ,557
000930.SZ,558
000931.SZ,560
000932.SZ,561
000933.SZ,562
000935.SZ,563
000936.SZ,564
000937.SZ,566
000938.SZ,567
000939.SZ,568
000948.SZ,569
000949.SZ,570
000950.SZ,571
000951.SZ,572
000952.SZ,573
000953.SZ,574
000955.SZ,575
000957.SZ,577
000958.SZ,578
000959.SZ,579
000960.SZ,581
000961.SZ,582
000962.SZ,583
000963.SZ,584
000965.SZ,585
000966.SZ,586
000967.SZ,587
000968.SZ,588
000969.SZ,589
000970.SZ,590
000971.SZ,591
000972.SZ,592
000973.SZ,593
000975.SZ,594
000976.SZ,595
000977.SZ,596
000978.SZ,597
000979.SZ,598
000980.SZ,599
000981.SZ,600
000982.SZ,601
000983.SZ,602
000985.SZ,603
000987.SZ,604
000988.SZ,605
000989.SZ,606
000990.SZ,607
000993.SZ,609
000995.SZ,610
000996.SZ,611
000997.SZ,612
000998.SZ,613
000999.SZ,614
001201.SZ,157881
001202.SZ,304056
001203.SZ,17076
001205.SZ,306120
001206.SZ,298801
001207.SZ,304020
001208.SZ,306144
001209.SZ,306148
001210.SZ,142705
001211.SZ,306141
001212.SZ,306129
001213.SZ,306121
001215.SZ,304013
001216.SZ,389371
001217.SZ,306134
001218.SZ,81846
001219.SZ,306125
001226.SZ,382725
001227.SZ,85486
001228.SZ,381444
001234.SZ,337710
001266.SZ,381458
001267.SZ,410316
001268.SZ,373189
001270.SZ,383712
001288.SZ,306143
001289.SZ,426032
001296.SZ,151403
001308.SZ,381456
001309.SZ,381194
001313.SZ,208769
001316.SZ,383711
001317.SZ,337709
001318.SZ,381418
001319.SZ,383732
001323.SZ,381441
001696.SZ,372
001872.SZ,58
001896.SZ,525
001914.SZ,87
001965.SZ,157316
001979.SZ,65471
002001.SZ,615
002002.SZ,2674
002003.SZ,2676
002004.SZ,2678
002005.SZ,2680
002006.SZ,2682
002007.SZ,2684
002008.SZ,2686
002009.SZ,2688
002010.SZ,2690
002011.SZ,2692
002012.SZ,2694
002013.SZ,2696
002014.SZ,2698
002015.SZ,2700
002016.SZ,2702
002017.SZ,2643
002018.SZ,2705
002019.SZ,2707
002020.SZ,2709
002021.SZ,2711
002022.SZ,2713
002023.SZ,2715
002024.SZ,2717
002025.SZ,2719
002026.SZ,2721
002027.SZ,2723
002028.SZ,2725
002029.SZ,2727
002030.SZ,2729
002031.SZ,2731
002032.SZ,2733
002033.SZ,2735
002034.SZ,2737
002035.SZ,2739
002036.SZ,2741
002037.SZ,2743
002038.SZ,2745
002039.SZ,3062
002040.SZ,3081
002041.SZ,3118
002042.SZ,3134
002043.SZ,3136
002044.SZ,3151
002045.SZ,3157
002046.SZ,3234
002047.SZ,3244
002048.SZ,3248
002049.SZ,3252
002050.SZ,3290
002051.SZ,4326
002052.SZ,4347
002053.SZ,4351
002054.SZ,4402
002055.SZ,4423
002056.SZ,4427
002057.SZ,4435
002058.SZ,4437
002059.SZ,4444
002060.SZ,4459
002061.SZ,4493
002062.SZ,4497
002063.SZ,4499
002064.SZ,4503
002065.SZ,4506
002066.SZ,4511
002067.SZ,4569
002068.SZ,4572
002069.SZ,4594
002070.SZ,4604
002071.SZ,4615
002072.SZ,4619
002073.SZ,4687
002074.SZ,4699
002075.SZ,4721
002076.SZ,4722
002077.SZ,4774
002078.SZ,4772
002079.SZ,4771
002080.SZ,4791
002081.SZ,4792
002082.SZ,4793
002083.SZ,4812
002084.SZ,4813
002085.SZ,4815
002086.SZ,4816
002087.SZ,4833
002088.SZ,4834
002089.SZ,4835
002090.SZ,4851
002091.SZ,4852
002092.SZ,4853
002093.SZ,4877
002094.SZ,4876
002095.SZ,4875
002096.SZ,4883
002097.SZ,4882
002098.SZ,4884
002099.SZ,4880
002100.SZ,4881
002101.SZ,4879
002102.SZ,4878
002103.SZ,4901
002104.SZ,4908
002105.SZ,4902
002106.SZ,4931
002107.SZ,4947
002108.SZ,4930
002109.SZ,4934
002110.SZ,4909
002111.SZ,4948
002112.SZ,4972
002113.SZ,4991
002114.SZ,4985
002115.SZ,4986
002116.SZ,5002
002117.SZ,5003
002118.SZ,5147
002119.SZ,5159
002120.SZ,4990
002121.SZ,4971
002122.SZ,5199
002123.SZ,5185
002124.SZ,5171
002125.SZ,5191
002126.SZ,5245
002127.SZ,5278
002128.SZ,5317
002129.SZ,5264
002130.SZ,5263
002131.SZ,5279
002132.SZ,5285
002133.SZ,5311
002134.SZ,5300
002135.SZ,5301
002136.SZ,5310
002137.SZ,5481
002138.SZ,5483
002139.SZ,5357
002140.SZ,5544
002141.SZ,5673
002142.SZ,5684
002143.SZ,5666
002144.SZ,5665
002145.SZ,5773
002146.SZ,5701
002147.SZ,5722
002148.SZ,5703
002149.SZ,5709
002150.SZ,5707
002151.SZ,5734
002152.SZ,5708
002153.SZ,5690
002154.SZ,6013
002155.SZ,5733
002156.SZ,5735
002157.SZ,5723
002158.SZ,5775
002159.SZ,5702
002160.SZ,6010
002161.SZ,6011
002162.SZ,6019
002163.SZ,6020
002164.SZ,6018
002165.SZ,6046
002166.SZ,6048
002167.SZ,6029
002168.SZ,5776
002169.SZ,6021
002170.SZ,5522
002171.SZ,6031
002172.SZ,6095
002173.SZ,6115
002174.SZ,6103
002175.SZ,6030
002176.SZ,6139
002177.SZ,6152
002178.SZ,6186
002179.SZ,6151
002180.SZ,6178
002181.SZ,1088
002182.SZ,6201
002183.SZ,6196
002184.SZ,6202
002185.SZ,6197
002186.SZ,6254
002187.SZ,6235
002188.SZ,6234
002189.SZ,6232
002190.SZ,6333
002191.SZ,6334
002192.SZ,6047
002193.SZ,6285
002194.SZ,6336
002195.SZ,6337
002196.SZ,6281
002197.SZ,6374
002198.SZ,6363
002199.SZ,6354
002200.SZ,6353
002201.SZ,6392
002202.SZ,6411
002203.SZ,6404
002204.SZ,6432
002205.SZ,6446
002206.SZ,6478
002207.SZ,6471
002208.SZ,6284
002209.SZ,6487
002210.SZ,6511
002211.SZ,6534
002212.SZ,6546
002213.SZ,6535
002214.SZ,6581
002215.SZ,6557
002216.SZ,6547
002217.SZ,6583
002218.SZ,6584
002219.SZ,6619
002220.SZ,6604
002221.SZ,6603
002222.SZ,6598
002223.SZ,6709
002224.SZ,6618
002225.SZ,6710
002226.SZ,6582
002227.SZ,6731
002228.SZ,6730
002229.SZ,6788
002230.SZ,6735
002231.SZ,6782
002232.SZ,6781
002233.SZ,6814
002234.SZ,6808
002235.SZ,6757
002236.SZ,6816
002237.SZ,6736
002238.SZ,6835
002239.SZ,6834
002240.SZ,6828
002241.SZ,6857
002242.SZ,6855
002243.SZ,6815
002244.SZ,6732
002245.SZ,6856
002246.SZ,6809
002247.SZ,6833
002248.SZ,6879
002249.SZ,6787
002250.SZ,6943
002251.SZ,6890
002252.SZ,6827
002253.SZ,6807
002254.SZ,6012
002255.SZ,6925
002256.SZ,6907
002258.SZ,6942
002259.SZ,6930
002260.SZ,6941
002261.SZ,6924
002262.SZ,6933
002263.SZ,6880
002264.SZ,6940
002265.SZ,6826
002266.SZ,7078
002267.SZ,7034
002268.SZ,7054
002269.SZ,7072
002270.SZ,7073
002271.SZ,7055
002272.SZ,7076
002273.SZ,7094
002274.SZ,6889
002275.SZ,7079
002276.SZ,7116
002277.SZ,7144
002278.SZ,7174
002279.SZ,4602
002280.SZ,7197
002281.SZ,7212
002282.SZ,7118
002283.SZ,7120
002284.SZ,7119
002285.SZ,7211
002286.SZ,7231
002287.SZ,7230
002288.SZ,7242
002289.SZ,7243
002290.SZ,7249
002291.SZ,7301
002292.SZ,7309
002293.SZ,7325
002294.SZ,7328
002295.SZ,7268
002296.SZ,7267
002297.SZ,7359
002298.SZ,8969
002299.SZ,8991
002300.SZ,7302
002301.SZ,8994
002302.SZ,9037
002303.SZ,9082
002304.SZ,9033
002305.SZ,9081
002306.SZ,9034
002307.SZ,9039
002308.SZ,9093
002309.SZ,9142
002310.SZ,9112
002311.SZ,9159
002312.SZ,9173
002313.SZ,9185
002314.SZ,9216
002315.SZ,9080
002316.SZ,9225
002317.SZ,9272
002318.SZ,9258
002319.SZ,9273
002320.SZ,9366
002321.SZ,9297
002322.SZ,9394
002323.SZ,9399
002324.SZ,9393
002325.SZ,9309
002326.SZ,9400
002327.SZ,9259
002328.SZ,9345
002329.SZ,9426
002330.SZ,9425
002331.SZ,9310
002332.SZ,9459
002333.SZ,9458
002334.SZ,9487
002335.SZ,9499
002336.SZ,9488
002337.SZ,9497
002338.SZ,9504
002339.SZ,9540
002340.SZ,9534
002341.SZ,9541
002342.SZ,9574
002343.SZ,9586
002344.SZ,9549
002345.SZ,9587
002346.SZ,9593
002347.SZ,9594
002348.SZ,9626
002349.SZ,9637
002350.SZ,9075
002351.SZ,9642
002352.SZ,9643
002353.SZ,9680
002354.SZ,9691
002355.SZ,9679
002356.SZ,9226
002357.SZ,9784
002358.SZ,9771
002359.SZ,9705
002360.SZ,9856
002361.SZ,9867
002362.SZ,7121
002363.SZ,9937
002364.SZ,9857
002365.SZ,9036
002366.SZ,9865
002367.SZ,9864
002368.SZ,9882
002369.SZ,9844
002370.SZ,9795
002371.SZ,9892
002372.SZ,9901
002373.SZ,9898
002374.SZ,9883
002375.SZ,9796
002376.SZ,9916
002377.SZ,9997
002378.SZ,9925
002379.SZ,9939
002380.SZ,9899
002381.SZ,9627
002382.SZ,9971
002383.SZ,9936
002384.SZ,9995
002385.SZ,9994
002386.SZ,9996
002387.SZ,10071
002388.SZ,10034
002389.SZ,10073
002390.SZ,10094
002391.SZ,10098
002392.SZ,9983
002393.SZ,10018
002394.SZ,10017
002395.SZ,10072
002396.SZ,7095
002397.SZ,9917
002398.SZ,10093
002399.SZ,10104
002400.SZ,10277
002401.SZ,10275
002402.SZ,10300
002403.SZ,10299
002404.SZ,10291
002405.SZ,10298
002406.SZ,10292
002407.SZ,10069
002408.SZ,10106
002409.SZ,10301
002410.SZ,10105
002411.SZ,10326
002412.SZ,10324
002413.SZ,10347
002414.SZ,10346
002415.SZ,10345
002416.SZ,10344
002417.SZ,10376
002418.SZ,10399
002419.SZ,7403
002420.SZ,10400
002421.SZ,9972
002422.SZ,10419
002423.SZ,10458
002424.SZ,10461
002425.SZ,10377
002426.SZ,10476
002427.SZ,10478
002428.SZ,10459
002429.SZ,10523
002430.SZ,10492
002431.SZ,10483
002432.SZ,10522
002433.SZ,10375
002434.SZ,10532
002435.SZ,10550
002436.SZ,10533
002437.SZ,10579
002438.SZ,7397
002439.SZ,10629
002440.SZ,10551
002441.SZ,10654
002442.SZ,10460
002443.SZ,10580
002444.SZ,10693
002445.SZ,10697
002446.SZ,7394
002447.SZ,10493
002448.SZ,7395
002449.SZ,10704
002450.SZ,10736
002451.SZ,10772
002452.SZ,10810
002453.SZ,10814
002454.SZ,10813
002455.SZ,9785
002456.SZ,10484
002457.SZ,10782
002458.SZ,10766
002459.SZ,10494
002460.SZ,10815
002461.SZ,7184
002462.SZ,10861
002463.SZ,10860
002464.SZ,10868
002465.SZ,11096
002466.SZ,10695
002467.SZ,7391
002468.SZ,11135
002469.SZ,10652
002470.SZ,11170
002471.SZ,11247
002472.SZ,11302
002473.SZ,11253
002474.SZ,9296
002475.SZ,11308
002476.SZ,11169
002477.SZ,11343
002478.SZ,11246
002479.SZ,11342
002480.SZ,11352
002481.SZ,11359
002482.SZ,11398
002483.SZ,11551
002484.SZ,11104
002485.SZ,11397
002486.SZ,11393
002487.SZ,11472
002488.SZ,11443
002489.SZ,8995
002490.SZ,7400
002491.SZ,11524
002492.SZ,10694
002493.SZ,11523
002494.SZ,11606
002495.SZ,11478
002496.SZ,11071
002497.SZ,11577
002498.SZ,11623
002499.SZ,11708
002500.SZ,11399
002501.SZ,11709
002502.SZ,11751
002503.SZ,11811
002504.SZ,11777
002505.SZ,11776
002506.SZ,8970
002507.SZ,11838
002508.SZ,11780
002509.SZ,11810
002510.SZ,11775
002511.SZ,11774
002512.SZ,11895
002513.SZ,11839
002514.SZ,11837
002515.SZ,11883
002516.SZ,11908
002517.SZ,11909
002518.SZ,11516
002519.SZ,11940
002520.SZ,11894
002521.SZ,11428
002522.SZ,11957
002523.SZ,9174
002524.SZ,12021
002526.SZ,12045
002527.SZ,11254
002528.SZ,12022
002529.SZ,10783
002530.SZ,11255
002531.SZ,12064
002532.SZ,12046
002533.SZ,12174
002534.SZ,12062
002535.SZ,12130
002536.SZ,12143
002537.SZ,12182
002538.SZ,9575
002539.SZ,12172
002540.SZ,12086
002541.SZ,12241
002542.SZ,12263
002543.SZ,12292
002544.SZ,12223
002545.SZ,12214
002546.SZ,12302
002547.SZ,12005
002548.SZ,12361
002549.SZ,9772
002550.SZ,12222
002551.SZ,12248
002552.SZ,12294
002553.SZ,12403
002554.SZ,11779
002555.SZ,12360
002556.SZ,12422
002557.SZ,12144
002558.SZ,12358
002559.SZ,12374
002560.SZ,12532
002561.SZ,9535
002562.SZ,12624
002563.SZ,12611
002564.SZ,12625
002565.SZ,12572
002566.SZ,9900
002567.SZ,12121
002568.SZ,12753
002569.SZ,11304
002570.SZ,12243
002571.SZ,12626
002572.SZ,12837
002573.SZ,12881
002574.SZ,12882
002575.SZ,12892
002576.SZ,12883
002577.SZ,12573
002578.SZ,12969
002579.SZ,12813
002580.SZ,12949
002581.SZ,12835
002582.SZ,13193
002583.SZ,13259
002584.SZ,13192
002585.SZ,13296
002586.SZ,13298
002587.SZ,13363
002588.SZ,13374
002589.SZ,13360
002590.SZ,13262
002591.SZ,9646
002592.SZ,13283
002593.SZ,13542
002594.SZ,13527
002595.SZ,11305
002596.SZ,13582
002597.SZ,13649
002598.SZ,13652
002599.SZ,7387
002600.SZ,13604
002601.SZ,13606
002602.SZ,13726
002603.SZ,13827
002604.SZ,13536
002605.SZ,13497
002606.SZ,12020
002607.SZ,13693
002608.SZ,13937
002609.SZ,12131
002610.SZ,14094
002611.SZ,14147
002612.SZ,14174
002613.SZ,10601
002614.SZ,11301
002615.SZ,11491
002616.SZ,14162
002617.SZ,14223
002618.SZ,14037
002619.SZ,14212
002620.SZ,13867
002621.SZ,14211
002622.SZ,10588
002623.SZ,14654
002624.SZ,14206
002625.SZ,14608
002626.SZ,13584
002627.SZ,13934
002628.SZ,14607
002629.SZ,14093
002630.SZ,9984
002631.SZ,14779
002632.SZ,14871
002633.SZ,14780
002634.SZ,14746
002635.SZ,14825
002636.SZ,14697
002637.SZ,14657
002638.SZ,14997
002639.SZ,14945
002640.SZ,14747
002641.SZ,14222
002642.SZ,15050
002643.SZ,11653
002644.SZ,10491
002645.SZ,14946
002646.SZ,14943
002647.SZ,15000
002648.SZ,14872
002649.SZ,15124
002650.SZ,15792
002651.SZ,15063
002652.SZ,15734
002653.SZ,15920
002654.SZ,15917
002655.SZ,15273
002656.SZ,15274
002657.SZ,16014
002658.SZ,16052
002659.SZ,16056
002660.SZ,16049
002661.SZ,16055
002662.SZ,15694
002663.SZ,16006
002664.SZ,15125
002665.SZ,16254
002666.SZ,15864
002667.SZ,15628
002668.SZ,15047
002669.SZ,16051
002670.SZ,16107
002671.SZ,16209
002672.SZ,16005
002673.SZ,14990
002674.SZ,16054
002675.SZ,16120
002676.SZ,16157
002677.SZ,16155
002678.SZ,16453
002679.SZ,16509
002680.SZ,16585
002681.SZ,16668
002682.SZ,16297
002683.SZ,16691
002684.SZ,16761
002685.SZ,16276
002686.SZ,16669
002687.SZ,16581
002688.SZ,15704
002689.SZ,16510
002690.SZ,16431
002691.SZ,16454
002692.SZ,16327
002693.SZ,16762
002694.SZ,16582
002695.SZ,16975
002696.SZ,16255
002697.SZ,17555
002698.SZ,16624
002699.SZ,16275
002700.SZ,17416
002701.SZ,16570
002702.SZ,12120
002703.SZ,17033
002705.SZ,17706
002706.SZ,12373
002707.SZ,17644
002708.SZ,16974
002709.SZ,16967
002711.SZ,16580
002712.SZ,18666
002713.SZ,16892
002714.SZ,17029
002715.SZ,16890
002716.SZ,16891
002717.SZ,14036
002718.SZ,16889
002719.SZ,17414
002721.SZ,17481
002722.SZ,17034
002723.SZ,16893
002724.SZ,18325
002725.SZ,16969
002726.SZ,18326
002727.SZ,16896
002728.SZ,18324
002729.SZ,34842
002730.SZ,34683
002731.SZ,35756
002732.SZ,34686
002733.SZ,34844
002734.SZ,13583
002735.SZ,34802
002736.SZ,36417
002737.SZ,34886
002738.SZ,11781
002739.SZ,34402
002740.SZ,34601
002741.SZ,34829
002742.SZ,34698
002743.SZ,12004
002745.SZ,14213
002746.SZ,16971
002747.SZ,34845
002748.SZ,17693
002749.SZ,34883
002750.SZ,34885
002751.SZ,35478
002752.SZ,16654
002753.SZ,35196
002755.SZ,34873
002756.SZ,9104
002757.SZ,34407
002758.SZ,35259
002759.SZ,35260
002760.SZ,35009
002761.SZ,34684
002762.SZ,34947
002763.SZ,34940
002765.SZ,36475
002766.SZ,34939
002767.SZ,34796
002768.SZ,34677
002769.SZ,12342
002770.SZ,34476
002771.SZ,34750
002772.SZ,35854
002773.SZ,18756
002774.SZ,48134
002775.SZ,34938
002776.SZ,34739
002777.SZ,35757
002778.SZ,13373
002779.SZ,34472
002780.SZ,34828
002781.SZ,34533
002782.SZ,17475
002783.SZ,13496
002785.SZ,36339
002786.SZ,34735
002787.SZ,35057
002788.SZ,35005
002789.SZ,35059
002790.SZ,35195
002791.SZ,34685
002792.SZ,16894
002793.SZ,35055
002795.SZ,35146
002796.SZ,34343
002797.SZ,35436
002798.SZ,34325
002799.SZ,16128
002800.SZ,34400
002801.SZ,34317
002802.SZ,34326
002803.SZ,35792
002805.SZ,11654
002806.SZ,35056
002807.SZ,36720
002808.SZ,10297
002809.SZ,35066
002810.SZ,36479
002811.SZ,35060
002812.SZ,36045
002813.SZ,35563
002815.SZ,17032
002816.SZ,36337
002817.SZ,35068
002818.SZ,34797
002819.SZ,35010
002820.SZ,35700
002821.SZ,35064
002822.SZ,35058
002823.SZ,35610
002824.SZ,36684
002825.SZ,36221
002826.SZ,69313
002827.SZ,66340
002828.SZ,35855
002829.SZ,36003
002830.SZ,14033
002831.SZ,39229
002832.SZ,35067
002833.SZ,38983
002835.SZ,36411
002836.SZ,36682
002837.SZ,40167
002838.SZ,17752
002839.SZ,36716
002840.SZ,38520
002841.SZ,40963
002842.SZ,36683
002843.SZ,17642
002845.SZ,39232
002846.SZ,44405
002847.SZ,44406
002848.SZ,40962
002849.SZ,46505
002850.SZ,42217
002851.SZ,16476
002852.SZ,47131
002853.SZ,45834
002855.SZ,43083
002856.SZ,35859
002857.SZ,40959
002858.SZ,41553
002859.SZ,50470
002860.SZ,50935
002861.SZ,42218
002862.SZ,48499
002863.SZ,51264
002864.SZ,107588
002865.SZ,36681
002866.SZ,61372
002867.SZ,42388
002868.SZ,49874
002869.SZ,51251
002870.SZ,50480
002871.SZ,51249
002872.SZ,51259
002873.SZ,121578
002875.SZ,48131
002876.SZ,51257
002877.SZ,61376
002878.SZ,49336
002879.SZ,61398
002880.SZ,61380
002881.SZ,74486
002882.SZ,49873
002883.SZ,64863
002884.SZ,61421
002885.SZ,73638
002886.SZ,61396
002887.SZ,65447
002888.SZ,72865
002889.SZ,11695
002890.SZ,66349
002891.SZ,77932
002892.SZ,82546
002893.SZ,61409
002895.SZ,80734
002896.SZ,84782
002897.SZ,80731
002898.SZ,74489
002899.SZ,84779
002900.SZ,61379
002901.SZ,80735
002902.SZ,50931
002903.SZ,84778
002905.SZ,18626
002906.SZ,48941
002907.SZ,86699
002908.SZ,85476
002909.SZ,65463
002910.SZ,105558
002911.SZ,13935
002912.SZ,85483
002913.SZ,95309
002915.SZ,95300
002916.SZ,109081
002917.SZ,106663
002918.SZ,83993
002919.SZ,84772
002920.SZ,82547
002921.SZ,84776
002922.SZ,90620
002923.SZ,35475
002925.SZ,96036
002926.SZ,50944
002927.SZ,131816
002928.SZ,111443
002929.SZ,159411
002930.SZ,161248
002931.SZ,130067
002932.SZ,159816
002933.SZ,176603
002935.SZ,61375
002936.SZ,106660
002937.SZ,133831
002938.SZ,152209
002939.SZ,95302
002940.SZ,133824
002941.SZ,135809
002942.SZ,133801
002943.SZ,148498
002945.SZ,96038
002946.SZ,146461
002947.SZ,146464
002948.SZ,106209
002949.SZ,155238
002950.SZ,154560
002951.SZ,157887
002952.SZ,146460
002953.SZ,42581
002955.SZ,180207
002956.SZ,158974
002957.SZ,159828
002958.SZ,99435
002959.SZ,177196
002960.SZ,41178
