wind_code,20140130,20140228,20140331,20140430,20140530,20140630,20140731,20140829,20140930,20141031,20141128,20141231,20150130,20150227,20150331,20150430,20150529,20150630,20150731,20150831,20150930,20151030,20151130,20151231,20160129,20160229,20160331,20160429,20160531,20160630,20160729,20160831,20160930,20161031,20161130,20161230,20170126,20170228,20170331,20170428,20170531,20170630,20170731,20170831,20170929,20171031,20171130,20171229,20180131,20180228,20180330,20180427,20180531,20180629,20180731,20180831,20180928,20181031,20181130,20181228,20190131,20190228,20190329,20190430,20190531,20190628,20190731,20190830,20190930,20191031,20191129,20191231,20200123,20200228,20200331,20200430,20200529,20200630,20200731,20200831,20200930,20201030,20201130,20201231,20210129,20210226,20210331,20210430,20210531,20210630,20210730,20210831,20210930,20211029,20211130,20211231,20220128,20220228,20220331,20220429,20220531,20220630,20220729,20220831,20220930,20221031,20221130,20221230,20230131,20230228,20230331,20230428,20230531,20230630,20230731
000011.SZ,,,,,,161.59,161.59,251.2,251.19,55.66,55.66,55.66,55.66,55.66,55.66,38.19,38.19,33.61,33.61,38.95,38.96,93.11,93.1,93.11,93.1,93.1,83.61,83.61,113.85,30.36,30.36,39.6,39.6,46.22,46.22,46.21,46.21,46.22,13.44,13.44,16.36,16.36,16.36,14.81,14.81,11.43,11.43,11.43,11.43,11.43,17.22,28.62,,47.7,47.7,52.34,52.34,93.62,93.62,93.62,93.62,93.62,93.62,28.95,57.89,57.89,28.95,29.14,29.14,32.41,32.41,32.41,32.41,32.41,21.86,20.06,24.07,24.07,24.07,23.17,23.17,23.65,23.65,23.65,23.65,23.65,26.87,53.3,28.38,28.38,28.38,19.35,19.35,19.35,17.7,17.7,17.7,17.7,24.34,24.22,,,40.16,70.07,70.07,59.16,59.16,59.16,59.16,59.16,75.37,122.27,122.27,122.27,64.91
000012.SZ,62.31,62.31,20.27,20.07,40.13,40.13,40.13,35.15,35.15,37.84,37.84,37.84,37.83,37.84,71.26,74.76,124.6,124.6,124.6,211.68,211.68,195.63,195.63,195.63,195.62,195.62,166.09,138.84,83.3,83.3,83.3,70.28,70.28,65.84,65.84,65.84,65.84,65.84,65.84,81.6,,,27.2,28.67,28.67,26.14,26.14,25.56,25.56,25.56,25.56,24.58,24.91,40.15,15.25,15.82,15.8,21.26,21.26,21.26,21.26,21.26,21.26,29.14,29.14,33.18,33.18,29.59,29.59,26.75,26.75,26.75,26.75,26.75,26.75,27.41,27.41,,41.69,39.04,39.04,29.9,29.9,29.9,29.9,29.9,29.9,17.32,17.32,42.05,24.74,17.64,17.64,17.64,19.66,19.65,19.65,19.66,19.65,22.92,22.92,45.84,45.84,52.13,52.13,36.77,36.77,36.77,36.77,36.77,36.77,29.96,29.96,,22.47
000014.SZ,14.46,14.46,17.54,8.51,8.51,5.11,5.11,4.98,4.98,5.74,5.75,5.74,5.75,5.74,4.98,9.38,9.38,11.88,11.87,7.61,7.61,8.24,8.24,8.25,8.24,8.24,7.23,8.02,8.02,15.62,15.62,26.73,26.74,20.49,20.5,20.5,20.49,20.49,26.1,24.81,24.81,10.06,10.06,7.04,7.04,5.98,5.98,5.98,5.98,5.98,39.67,21.41,21.41,14.27,14.27,29.79,29.8,37.03,37.03,37.01,37.02,37.0,37.02,1.48,1.48,9.78,9.78,9.57,9.57,10.05,10.05,10.05,10.05,10.05,63.14,37.38,37.38,6.23,6.23,4.6,4.6,4.81,4.81,4.81,4.81,4.81,50.72,-17.3,-17.29,-12.58,-12.58,-3.99,-3.99,-3.97,-3.97,-3.97,-3.97,-3.97,4.56,2.66,19.32,16.66,16.65,10.01,10.01,4.01,4.01,4.01,4.01,4.01,4.06,2.56,,7.36,7.36
000016.SZ,17.07,17.07,17.06,29.76,59.53,29.77,29.77,24.09,24.09,23.53,23.53,23.52,23.52,23.54,23.52,23.66,,,23.71,-4.16,-4.16,-1.42,-1.42,-1.42,-1.42,-1.42,-1.42,-0.96,-0.96,-0.96,,,,,,,,,,,,,,,,,,,,,,,,7.67,7.67,7.27,7.27,7.28,7.28,7.28,7.28,7.28,7.28,88.44,88.43,,54.59,57.02,57.03,55.75,55.75,55.75,55.75,55.75,55.75,-255.8,-255.8,-255.8,-127.89,-261.56,-261.56,-261.57,31.95,31.94,31.94,31.94,25.21,15.61,15.61,46.84,31.23,51.41,51.41,-91.17,-91.18,-91.17,-91.17,-91.18,26.6,25.71,25.71,12.86,12.86,12.13,12.13,10.31,10.31,10.31,10.31,10.31,-8.18,-8.18,-8.46,,
000017.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000018.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.54,18.87,18.87,17.54,17.54,17.54,17.54,17.54,17.54,26.81,20.4,20.4,13.6,26.59,26.59,-1389.97,-1389.96,-1389.96,-1389.96,-1389.92,-1389.98,-3.31,-3.31,-3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000019.SZ,116.38,116.38,114.93,137.77,137.77,137.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.31,24.31,24.03,24.03,23.09,23.09,23.09,23.09,23.09,23.09,-41.06,-41.06,,,,,,,,,,,,,26.17,26.17,21.76,21.76,17.26,17.26,17.26,17.26,17.26,17.26,35.45,35.44,70.89,70.89,62.12,62.12,66.9,66.9,66.9,66.9,66.9,66.9,50.31,50.31,50.31,50.31,52.6,52.6,58.86,58.86,58.86,58.86,58.86,58.86,53.59,53.59,66.99,66.99,68.21,68.21,64.01,64.01,64.01,64.01,64.01,64.01,74.15,74.15,74.15,74.15
000020.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000021.SZ,15.16,15.16,11.48,32.29,32.29,90.02,90.02,90.02,54.99,34.15,34.15,34.15,34.15,34.15,41.87,21.44,21.43,21.44,21.43,22.78,22.78,41.13,41.13,41.13,41.13,41.13,40.72,26.29,26.29,26.28,26.29,28.34,28.34,21.39,21.39,21.39,21.39,21.39,34.31,34.31,40.84,40.84,40.84,24.17,24.17,19.37,19.37,19.36,19.36,19.36,13.59,13.59,14.42,14.42,14.42,18.14,18.14,14.34,14.34,14.34,14.34,14.34,14.33,13.41,13.41,26.82,26.82,26.82,28.97,40.68,40.68,40.68,40.68,40.68,40.68,44.61,44.6,26.77,26.76,22.38,22.37,16.79,16.79,16.79,16.79,10.49,10.49,9.05,9.04,25.59,25.58,26.61,26.61,26.9,26.9,26.9,26.9,26.9,26.9,32.2,30.54,28.64,28.64,24.44,24.44,28.07,28.07,28.07,28.07,28.07,28.07,35.52,45.2,,39.17
000023.SZ,14.04,14.04,14.04,18.12,18.12,,,65.15,65.15,31.14,31.14,31.14,31.13,32.18,32.19,30.39,30.39,30.38,30.38,22.18,22.18,19.51,19.51,19.51,19.51,19.51,20.76,19.73,19.74,19.73,19.74,29.28,29.28,89.48,89.48,89.47,89.44,89.44,69.69,33.19,33.18,33.19,33.19,25.97,25.97,15.62,15.62,15.62,15.62,15.62,15.62,18.2,36.74,36.75,36.74,56.93,56.94,95.22,95.21,95.22,95.21,95.22,95.22,15.06,15.06,15.05,15.05,14.72,14.72,11.92,11.91,11.91,11.91,11.91,11.91,34.12,34.12,34.11,39.8,24.19,24.2,-19.26,-19.26,-19.24,-19.25,-19.25,-19.25,17.94,17.94,17.92,,,,,,,,,,,,,,,,,,,,,,,,,
